season,district,role,model_key,n,overall_accuracy,source_file,training_schema_version,c_vegetation_vegetation,c_vegetation_water,c_vegetation_builtarea,c_vegetation_openland,c_vegetation_agriculture,c_water_vegetation,c_water_water,c_water_builtarea,c_water_openland,c_water_agriculture,c_builtarea_vegetation,c_builtarea_water,c_builtarea_builtarea,c_builtarea_openland,c_builtarea_agriculture,c_openland_vegetation,c_openland_water,c_openland_builtarea,c_openland_openland,c_openland_agriculture,c_agriculture_vegetation,c_agriculture_water,c_agriculture_builtarea,c_agriculture_openland,c_agriculture_agriculture
summer,Betul,test,after-gtb,100,0.65,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,8,1,1,0,10,0,20,0,0,0,0,0,20,0,0,0,4,5,10,1,1,1,4,7,7
summer,Betul,test,after-gtb-b19,100,0.62,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,6,0,0,0,14,0,20,0,0,0,0,0,20,0,0,0,4,5,9,2,1,1,5,6,7
summer,Betul,test,after-gtb-b22,100,0.63,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,5,0,0,0,15,0,20,0,0,0,0,0,20,0,0,0,3,5,10,2,2,1,2,7,8
summer,Betul,test,after-gtb-b27,100,0.66,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,8,0,0,0,12,0,20,0,0,0,0,0,20,0,0,0,4,5,10,1,2,2,2,6,8
summer,Betul,test,after-knn,100,0.63,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,7,0,0,0,13,0,20,0,0,0,0,0,20,0,0,0,1,7,9,3,3,1,2,7,7
summer,Betul,test,after-rf,100,0.65,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,7,3,0,0,10,0,20,0,0,0,0,0,20,0,0,0,4,6,10,0,2,1,3,6,8
summer,Betul,test,after-svm,100,0.65,mp_external_shards_v7_worker_0.json,five-class-19-band-v5-drop-summer,5,0,0,0,15,0,20,0,0,0,0,0,20,0,0,0,3,6,11,0,2,1,3,5,9
summer,Bhind,test,after-cart,80,0.725,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,5,15,0,0,0,4,13,3
summer,Bhind,test,after-gtb,80,0.775,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,19,0,1,0,0,2,14,4,0,0,3,8,9
summer,Bhind,test,after-gtb-b19,80,0.7,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,1,19,0,0,0,0,1,8,11,0,0,2,9,9
summer,Bhind,test,after-gtb-b22,80,0.7,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,19,0,1,0,0,1,10,9,0,0,2,11,7
summer,Bhind,test,after-gtb-b27,80,0.75,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,19,0,1,0,0,1,9,10,0,0,2,6,12
summer,Bhind,test,after-knn,80,0.675,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,1,0,18,0,1,0,0,1,10,9,1,0,5,8,6
summer,Bhind,test,after-rf,80,0.775,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,1,16,3,0,0,3,11,6
summer,Bhind,test,after-svm,80,0.7625,mp_external_shards_v7_worker_1.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,1,0,18,0,1,0,0,0,18,2,0,0,5,10,5
summer,Bhopal,test,after-cart,100,0.64,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,1,14,0,0,5,0,20,0,0,0,0,0,20,0,0,0,1,8,11,0,1,1,5,1,12
summer,Bhopal,test,after-gtb,100,0.82,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,13,1,0,0,6,0,20,0,0,0,0,0,20,0,0,0,0,4,13,3,1,1,2,0,16
summer,Bhopal,test,after-gtb-b19,100,0.72,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,10,1,0,0,9,0,20,0,0,0,0,0,20,0,0,0,1,6,8,5,0,2,3,1,14
summer,Bhopal,test,after-gtb-b22,100,0.73,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,8,2,0,0,10,0,20,0,0,0,0,0,20,0,0,0,0,5,11,4,0,1,4,1,14
summer,Bhopal,test,after-gtb-b27,100,0.79,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,10,1,0,0,9,0,20,0,0,0,0,0,20,0,0,0,0,5,13,2,0,1,3,0,16
summer,Bhopal,test,after-knn,100,0.76,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,12,0,0,0,8,0,20,0,0,0,0,0,20,0,0,0,0,6,12,2,1,1,5,1,12
summer,Bhopal,test,after-rf,100,0.78,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,9,1,0,0,10,0,20,0,0,0,0,0,20,0,0,0,0,6,14,0,1,1,2,1,15
summer,Bhopal,test,after-svm,100,0.67,mp_external_shards_v7_worker_2.json,five-class-19-band-v5-drop-summer,1,0,0,0,19,0,20,0,0,0,0,0,20,0,0,0,0,7,11,2,1,1,1,2,15
summer,Burhanpur,test,after-cart,80,0.6375,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,2,9,9,0,2,5,4,7,2
summer,Burhanpur,test,after-gtb,80,0.8375,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,1,4,14,1,0,3,0,4,13
summer,Burhanpur,test,after-gtb-b19,80,0.8,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,1,5,10,4,0,2,0,4,14
summer,Burhanpur,test,after-gtb-b22,80,0.8625,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,5,14,1,0,2,0,3,15
summer,Burhanpur,test,after-gtb-b27,80,0.875,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,5,14,1,0,0,0,4,16
summer,Burhanpur,test,after-knn,80,0.825,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,5,13,2,1,0,1,5,13
summer,Burhanpur,test,after-rf,80,0.8125,mp_external_shards_v7_worker_3.json,five-class-19-band-v5-drop-summer,0,0,0,0,0,0,20,0,0,0,0,0,19,1,0,0,1,4,15,0,0,4,0,5,11
