season,realisation,held_out_blocks,protocol,model,train_n,test_n,overall_accuracy,class_balanced_accuracy,kappa,reference_Veg.,reference_Water,reference_Built,reference_Open,reference_Agri.
winter,5,5|6|7,random,rf,2262,2738,0.9342585829072315,0.9344335604422277,0.9178167168041835,532,555,558,543,550
winter,5,5|6|7,random,svm,2262,2738,0.9353542731921111,0.9355392797651143,0.9191875971122541,532,555,558,543,550
winter,5,5|6|7,spatially_blocked,cart,2262,2683,0.715989563920984,0.775689075607722,0.650321927831518,867,724,415,414,263
winter,5,5|6|7,spatially_blocked,gtb,2262,2683,0.9392471114424152,0.9327926272487232,0.9210188310550773,867,724,415,414,263
winter,5,5|6|7,spatially_blocked,knn,2262,2683,0.9064480059634737,0.9093746977299622,0.8793503368046033,867,724,415,414,263
winter,5,5|6|7,spatially_blocked,rf,2262,2683,0.9291837495341037,0.926771953836368,0.9082217319171499,867,724,415,414,263
winter,5,5|6|7,spatially_blocked,svm,2262,2683,0.9508013417815878,0.9433662430854171,0.9359137612709978,867,724,415,414,263
winter,6,6|7|8,random,cart,3464,1536,0.873046875,0.8717789880509358,0.8411044598124574,319,288,311,329,289
winter,6,6|7|8,random,gtb,3464,1536,0.9446614583333334,0.9435962619182326,0.9307625243678157,319,288,311,329,289
winter,6,6|7|8,random,knn,3464,1536,0.9270833333333334,0.925606894556729,0.9087487322676604,319,288,311,329,289
winter,6,6|7|8,random,rf,3464,1536,0.935546875,0.9345339830005571,0.9193595601430553,319,288,311,329,289
winter,6,6|7|8,random,svm,3464,1536,0.9348958333333334,0.9336532105347974,0.9185282035097584,319,288,311,329,289
winter,6,6|7|8,spatially_blocked,cart,3464,1533,0.8721461187214612,0.8672759356213868,0.825804342079022,662,338,162,294,77
winter,6,6|7|8,spatially_blocked,gtb,3464,1533,0.9419439008480104,0.938590051751412,0.9195549837620605,662,338,162,294,77
winter,6,6|7|8,spatially_blocked,knn,3464,1533,0.928897586431833,0.921200161703465,0.9014932500147379,662,338,162,294,77
winter,6,6|7|8,spatially_blocked,rf,3464,1533,0.928897586431833,0.9181744396301239,0.9015514033448377,662,338,162,294,77
winter,6,6|7|8,spatially_blocked,svm,3464,1533,0.9432485322896281,0.934010666952247,0.9212122715825776,662,338,162,294,77
winter,7,7|8|9,random,cart,4329,666,0.8918918918918919,0.892740695952642,0.8646689112722284,113,135,139,137,142
winter,7,7|8|9,random,gtb,4329,666,0.9594594594594594,0.9599694443573984,0.9492418169295561,113,135,139,137,142
winter,7,7|8|9,random,knn,4329,666,0.9534534534534534,0.9545849025970472,0.9417380384631664,113,135,139,137,142
winter,7,7|8|9,random,rf,4329,666,0.9579579579579579,0.9582543997575719,0.9473525218446944,113,135,139,137,142
winter,7,7|8|9,random,svm,4329,666,0.948948948948949,0.9492657749608702,0.9360703779199441,113,135,139,137,142
winter,7,7|8|9,spatially_blocked,cart,4329,671,0.8554396423248882,0.8651838866990096,0.7864879937016139,50,320,97,204,0
winter,7,7|8|9,spatially_blocked,gtb,4329,671,0.9090909090909091,0.9109694954012533,0.8651820475490938,50,320,97,204,0
