season,district,role,consensus_class,eligible_area_km2,sample_n,sampled,exclusion_reason,weight_scale_m
summer,Narsinghpur,test,Vegetation,0.0396,20,yes,,10
summer,Narsinghpur,test,Water,5.6295,20,yes,,10
summer,Neemuch,development,Agriculture,1852.9886,20,yes,,10
summer,Neemuch,development,Built Area,11.7619,20,yes,,10
summer,Neemuch,development,Open Land,5.5015,20,yes,,10
summer,Neemuch,development,Vegetation,0.0,0,no,no consensus pixel of this class cleared the 20-point quota,10
summer,Neemuch,development,Water,117.2443,20,yes,,10
summer,Panna,test,Agriculture,3270.858,20,yes,,10
summer,Panna,test,Built Area,0.6924,20,yes,,10
summer,Panna,test,Open Land,10.7499,20,yes,,10
summer,Panna,test,Vegetation,0.0003,3,yes,,10
summer,Panna,test,Water,15.2146,20,yes,,10
summer,Raisen,test,Agriculture,4801.8761,20,yes,,10
summer,Raisen,test,Built Area,14.1835,20,yes,,10
summer,Raisen,test,Open Land,2.2781,20,yes,,10
summer,Raisen,test,Vegetation,0.0013,14,yes,,10
summer,Raisen,test,Water,54.2476,20,yes,,10
summer,Rajgarh,development,Agriculture,4672.9272,20,yes,,10
summer,Rajgarh,development,Built Area,16.5157,20,yes,,10
summer,Rajgarh,development,Open Land,8.9948,20,yes,,10
summer,Rajgarh,development,Vegetation,0.0185,20,yes,,10
summer,Rajgarh,development,Water,1.3973,20,yes,,10
summer,Ratlam,test,Agriculture,3351.2842,20,yes,,10
summer,Ratlam,test,Built Area,21.4092,20,yes,,10
summer,Ratlam,test,Open Land,8.9343,20,yes,,10
summer,Ratlam,test,Vegetation,0.0,0,no,no consensus pixel of this class cleared the 20-point quota,10
summer,Ratlam,test,Water,6.1783,20,yes,,10
summer,Rewa,development,Agriculture,3886.6601,20,yes,,10
summer,Rewa,development,Built Area,9.754,20,yes,,10
summer,Rewa,development,Open Land,7.7779,20,yes,,10
summer,Rewa,development,Vegetation,0.0738,20,yes,,10
summer,Rewa,development,Water,5.0579,20,yes,,10
summer,Sagar,test,Agriculture,6160.9617,20,yes,,10
summer,Sagar,test,Built Area,14.4285,20,yes,,10
summer,Sagar,test,Open Land,7.4665,20,yes,,10
summer,Sagar,test,Vegetation,0.0777,20,yes,,10
summer,Sagar,test,Water,17.5059,20,yes,,10
summer,Satna,test,Agriculture,4199.3153,20,yes,,10
summer,Satna,test,Built Area,9.64,20,yes,,10
summer,Satna,test,Open Land,15.1936,20,yes,,10
summer,Satna,test,Vegetation,0.0981,20,yes,,10
summer,Satna,test,Water,142.4534,20,yes,,10
summer,Sehore,development,Agriculture,4589.5257,20,yes,,10
summer,Sehore,development,Built Area,17.3121,20,yes,,10
summer,Sehore,development,Open Land,7.9354,20,yes,,10
summer,Sehore,development,Vegetation,0.0032,20,yes,,10
summer,Sehore,development,Water,27.2907,20,yes,,10
summer,Seoni,test,Agriculture,4165.5361,20,yes,,10
summer,Seoni,test,Built Area,8.4634,20,yes,,10
summer,Seoni,test,Open Land,2.1447,20,yes,,10
summer,Seoni,test,Vegetation,0.0905,20,yes,,10
summer,Seoni,test,Water,77.4949,20,yes,,10
summer,Shahdol,test,Agriculture,2831.2588,20,yes,,10
summer,Shahdol,test,Built Area,5.456,20,yes,,10
summer,Shahdol,test,Open Land,10.6215,20,yes,,10
summer,Shahdol,test,Vegetation,21.655,20,yes,,10
summer,Shahdol,test,Water,146.0269,20,yes,,10
summer,Shajapur,development,Agriculture,4893.4407,20,yes,,10
summer,Shajapur,development,Built Area,19.9937,20,yes,,10
summer,Shajapur,development,Open Land,11.535,20,yes,,10
summer,Shajapur,development,Vegetation,0.0013,14,yes,,10
summer,Shajapur,development,Water,3.4063,20,yes,,10
summer,Sheopur,development,Agriculture,2117.6747,20,yes,,10
summer,Sheopur,development,Built Area,3.0798,20,yes,,10
summer,Sheopur,development,Open Land,17.5488,20,yes,,10
summer,Sheopur,development,Vegetation,0.0602,20,yes,,10
summer,Sheopur,development,Water,1.6957,20,yes,,10
summer,Shivpuri,development,Agriculture,5572.0388,20,yes,,10
summer,Shivpuri,development,Built Area,5.6087,20,yes,,10
summer,Shivpuri,development,Open Land,9.4594,20,yes,,10
summer,Shivpuri,development,Vegetation,0.0006,7,yes,,10
summer,Shivpuri,development,Water,74.5161,20,yes,,10
summer,Sidhi,test,Agriculture,3370.4732,20,yes,,10
summer,Sidhi,test,Built Area,5.7051,20,yes,,10
summer,Sidhi,test,Open Land,123.3296,20,yes,,10
summer,Sidhi,test,Vegetation,17.3782,20,yes,,10
summer,Sidhi,test,Water,43.018,20,yes,,10
summer,Tikamgarh,development,Agriculture,3420.3085,20,yes,,10
summer,Tikamgarh,development,Built Area,4.0177,20,yes,,10
summer,Tikamgarh,development,Open Land,5.2666,20,yes,,10
summer,Tikamgarh,development,Vegetation,0.0021,20,yes,,10
summer,Tikamgarh,development,Water,9.0043,20,yes,,10
summer,Ujjain,test,Agriculture,5211.7767,20,yes,,10
summer,Ujjain,test,Built Area,35.974,20,yes,,10
summer,Ujjain,test,Open Land,5.108,20,yes,,10
summer,Ujjain,test,Vegetation,0.0,0,no,no consensus pixel of this class cleared the 20-point quota,10
summer,Ujjain,test,Water,2.6651,20,yes,,10
summer,Umaria,test,Agriculture,1181.8873,20,yes,,10
summer,Umaria,test,Built Area,1.59,20,yes,,10
summer,Umaria,test,Open Land,1.8645,20,yes,,10
summer,Umaria,test,Vegetation,32.7864,20,yes,,10
summer,Umaria,test,Water,49.3466,20,yes,,10
summer,Vidisha,test,Agriculture,5957.4234,20,yes,,10
summer,Vidisha,test,Built Area,7.7704,20,yes,,10
summer,Vidisha,test,Open Land,2.2538,20,yes,,10
summer,Vidisha,test,Vegetation,0.0007,8,yes,,10
summer,Vidisha,test,Water,17.1545,20,yes,,10
summer,West Nimar,development,Agriculture,4739.2785,20,yes,,10
summer,West Nimar,development,Built Area,22.652,20,yes,,10
summer,West Nimar,development,Open Land,10.8602,20,yes,,10
summer,West Nimar,development,Vegetation,0.0501,20,yes,,10
summer,West Nimar,development,Water,28.1967,20,yes,,10
winter,Anuppur,test,Agriculture,878.7795,20,yes,,10
winter,Anuppur,test,Built Area,0.3349,20,yes,,10
winter,Anuppur,test,Open Land,4.8041,20,yes,,10
