season,district,role,model_key,stored_n,rerun_n,stored_overall_accuracy,rerun_overall_accuracy,matrix_redistribution,identical
summer,Shahdol,test,after-gtb-b19,100,100,0.56,0.56,3,False
summer,Shahdol,test,after-gtb-b22,100,100,0.59,0.58,3,False
summer,Shahdol,test,after-gtb-b27,100,100,0.59,0.59,2,False
summer,Shahdol,test,after-knn,100,100,0.53,0.53,0,True
summer,Shahdol,test,after-rf,100,100,0.53,0.53,0,True
summer,Shahdol,test,after-svm,100,100,0.56,0.56,0,True
summer,Shajapur,development,after-cart,94,94,0.62766,0.62766,0,True
summer,Shajapur,development,after-gtb,94,94,0.755319,0.755319,3,False
summer,Shajapur,development,after-gtb-b19,94,94,0.702128,0.691489,2,False
summer,Shajapur,development,after-gtb-b22,94,94,0.691489,0.712766,3,False
summer,Shajapur,development,after-gtb-b27,94,94,0.734043,0.734043,0,True
summer,Shajapur,development,after-knn,94,94,0.734043,0.734043,0,True
summer,Shajapur,development,after-rf,94,94,0.680851,0.680851,0,True
summer,Shajapur,development,after-svm,94,94,0.680851,0.680851,0,True
summer,Sheopur,development,after-cart,100,100,0.71,0.71,0,True
summer,Sheopur,development,after-gtb,100,100,0.81,0.8,3,False
summer,Sheopur,development,after-gtb-b19,100,100,0.72,0.75,5,False
summer,Sheopur,development,after-gtb-b22,100,100,0.75,0.79,6,False
summer,Sheopur,development,after-gtb-b27,100,100,0.79,0.78,1,False
summer,Sheopur,development,after-knn,100,100,0.8,0.8,0,True
summer,Sheopur,development,after-rf,100,100,0.82,0.82,0,True
summer,Sheopur,development,after-svm,100,100,0.82,0.82,0,True
summer,Shivpuri,development,after-cart,87,87,0.563218,0.563218,0,True
summer,Shivpuri,development,after-gtb,87,87,0.712644,0.735632,6,False
summer,Shivpuri,development,after-gtb-b19,87,87,0.724138,0.747126,2,False
summer,Shivpuri,development,after-gtb-b22,87,87,0.701149,0.701149,0,True
summer,Shivpuri,development,after-gtb-b27,87,87,0.701149,0.689655,1,False
summer,Shivpuri,development,after-knn,87,87,0.655172,0.655172,0,True
summer,Shivpuri,development,after-rf,87,87,0.724138,0.724138,0,True
summer,Shivpuri,development,after-svm,87,87,0.678161,0.678161,0,True
summer,Sidhi,test,after-cart,100,100,0.53,0.53,0,True
summer,Sidhi,test,after-gtb,100,100,0.61,0.62,4,False
summer,Sidhi,test,after-gtb-b19,100,100,0.54,0.53,1,False
summer,Sidhi,test,after-gtb-b22,100,100,0.59,0.6,1,False
summer,Sidhi,test,after-gtb-b27,100,100,0.58,0.6,2,False
summer,Sidhi,test,after-knn,100,100,0.6,0.6,0,True
summer,Sidhi,test,after-rf,100,100,0.54,0.54,0,True
summer,Sidhi,test,after-svm,100,100,0.57,0.57,0,True
summer,Tikamgarh,development,after-cart,100,100,0.49,0.49,0,True
summer,Tikamgarh,development,after-gtb,100,100,0.61,0.62,3,False
summer,Tikamgarh,development,after-gtb-b19,100,100,0.6,0.58,7,False
summer,Tikamgarh,development,after-gtb-b22,100,100,0.57,0.56,2,False
summer,Tikamgarh,development,after-gtb-b27,100,100,0.59,0.58,3,False
summer,Tikamgarh,development,after-knn,100,100,0.56,0.56,0,True
summer,Tikamgarh,development,after-rf,100,100,0.65,0.65,0,True
summer,Tikamgarh,development,after-svm,100,100,0.58,0.58,0,True
summer,Ujjain,test,after-cart,80,80,0.675,0.675,0,True
summer,Ujjain,test,after-gtb,80,80,0.8125,0.825,3,False
summer,Ujjain,test,after-gtb-b19,80,80,0.7375,0.725,2,False
summer,Ujjain,test,after-gtb-b22,80,80,0.725,0.75,2,False
summer,Ujjain,test,after-gtb-b27,80,80,0.7625,0.775,2,False
summer,Ujjain,test,after-knn,80,80,0.75,0.75,0,True
summer,Ujjain,test,after-rf,80,80,0.8,0.8,0,True
summer,Ujjain,test,after-svm,80,80,0.6625,0.6625,0,True
summer,Umaria,test,after-cart,100,100,0.51,0.51,0,True
summer,Umaria,test,after-gtb,100,100,0.68,0.69,1,False
summer,Umaria,test,after-gtb-b19,100,100,0.6,0.6,4,False
summer,Umaria,test,after-gtb-b22,100,100,0.65,0.61,4,False
summer,Umaria,test,after-gtb-b27,100,100,0.67,0.67,2,False
summer,Umaria,test,after-knn,100,100,0.55,0.55,0,True
summer,Umaria,test,after-rf,100,100,0.62,0.62,0,True
summer,Umaria,test,after-svm,100,100,0.55,0.55,0,True
summer,Vidisha,test,after-cart,88,88,0.613636,0.613636,0,True
summer,Vidisha,test,after-gtb,88,88,0.761364,0.772727,1,False
summer,Vidisha,test,after-gtb-b19,88,88,0.715909,0.715909,3,False
summer,Vidisha,test,after-gtb-b22,88,88,0.738636,0.761364,3,False
summer,Vidisha,test,after-gtb-b27,88,88,0.75,0.738636,4,False
summer,Vidisha,test,after-knn,88,88,0.727273,0.727273,0,True
summer,Vidisha,test,after-rf,88,88,0.761364,0.761364,0,True
summer,Vidisha,test,after-svm,88,88,0.659091,0.659091,0,True
summer,West Nimar,development,after-cart,100,100,0.63,0.63,0,True
summer,West Nimar,development,after-gtb,100,100,0.75,0.75,4,False
summer,West Nimar,development,after-gtb-b19,100,100,0.7,0.74,4,False
summer,West Nimar,development,after-gtb-b22,100,100,0.71,0.73,4,False
summer,West Nimar,development,after-gtb-b27,100,100,0.74,0.75,3,False
summer,West Nimar,development,after-knn,100,100,0.74,0.74,0,True
summer,West Nimar,development,after-rf,100,100,0.71,0.71,0,True
summer,West Nimar,development,after-svm,100,100,0.69,0.69,0,True
winter,Anuppur,test,after-cart,100,100,0.68,0.68,0,True
